key,id,en
PLAY,Mulai,Play
SETTINGS,Pengaturan,Settings
CREDITS,Kredit,Credits
EXIT,Keluar,Exit
BACK,Kembali,Back
MUSIC,Musik,Music
SOUND EFFECT,Efek Suara,Sound Effect
NEXT,Selanjutnya,Next
NEXT LEVEL,Level Selanjutnya,Next Level
MAIN MENU,Menu Utama,Main Menu
$dialog_tutorial_1,"Hey Pengembala! Aku mengendus adanya  [color=#b35054]predator[/color] di antara gerombolan [color=#a7d694]domba[/color] ini, tetapi aku tidak melihat adanya [color=#b35054]predator[/color].","Hey Shepherd! I smell a [color=#b35054]predator[/color] among the sheeps, but I don't see any sign of a [color=#b35054]predator[/color]"
$dialog_tutorial_2,Kemungkinan para [color=#b35054]predator[/color] sedang menyamar di antara kawanan [color=#a7d694]domba-domba[/color] itu.,Maybe the [color=#b35054]predators[/color] are currently disguised among those [color=#a7d694]sheeps[/color].
$dialog_tutorial_3,Kita harus menginterogasi para [color=#a7d694]domba[/color] dengan menanyakan apa karakteristik benda yang ada di tengah,We have to interrogate the [color=#a7d694]sheeps[/color] by asking what are the characteristics of the object in the middle.
$dialog_tutorial_4,Hanya [color=#a7d694]domba[/color] saja yang bisa mendeskripsikan dengan akurat  tentang karakteristik benda yang berada di tengah,Only [color=#a7d694]sheeps[/color] can accurately describe the characteristics of the object in the middle.
$dialog_tutorial_5,"Jika ada [color=#a7d694]domba[/color] yang tidak bisa mendeskripsikannya dengan tepat, ada kemungkinan itu adalah [color=#b35054]predator[/color]","If a sheep can't accurately describe the object, there's a chance that might be a [color=#b35054]predator[/color]."
$dialog_tutorial_6,Arahkan kursor-mu ke kartu untuk melihat dialog mereka,Hover your cursor to the cards to see their dialogs
$dialog_tutorial_7,Klik lagi kartu untuk batal [color=#8acfdb]dicurigai[/color],Click again to cancel [color=#8acfdb]suspected[/color]
$dialog_tutorial_8,Klik kartu untuk [color=#8acfdb]dicurigai[/color],Click a card to  [color=#8acfdb]suspect [/color] them
$dialog_tutorial_9,"Klik tombol yang bergambar ""bidik pistol"" untuk [color=#b35054]eksekusi[/color]","Click the button with the ""pistol aim"" symbol to [color=#b35054]execute[/color]"
$dialog_tutorial_10,Klik kartu untuk di [color=#b35054]eksekusi[/color],Click a card to [color=#b35054]execute[/color]
$dialog_tutorial_11,"Klik tombol yang bergambar ""bidik pistol"" untuk [color=#b35054]eksekusi[/color]","Click the button with the ""pistol aim"" symbol to [color=#b35054]execute[/color]"
PREDATORS FOUNDED,Predator ditemukan,Predators founded
GAME OVER,Kalah,Game Over
REMAINING PREDATORS,Sisa predator,Remaining predators
NUMBERS OF PREDATORS,Jumlah predator,Number of predators
RESTART,Mulai Ulang,Restart
LEVEL COMPLETED,Level Selesai,Level Completed
PREDATOR FOUNDED,Predator ditemukan,Predator founded
REMAINING LIVES,Sisa nyawa,Remaining lives
$sheep_dialog_kertas_1,Permukaannya rata dan cocok untuk menulis,The surface is flat and it's perfect for writing
$sheep_dialog_kertas_2,Warnanya biasanya putih atau terang,It's color is usally white or bright
$sheep_dialog_kertas_3,Biasanya benda ini mudah terbakar,This thing is usually flammable
$sheep_dialog_kertas_4,Benda ini tipis dan mudah ditekuk,This thing is thin and easy to fold
$sheep_dialog_kertas_5,Terbuat dari kayu,Made out of wood
$wolf_dialog_kertas_1,Benda itu terletak diam di atas meja dengan makanan,That thing is placed on top of a table with foods
$wolf_dialog_kertas_2,Ada sebuah benda tipis yang tidak bisa terbakar,There's a thin object that can't be burned by fire
$wolf_dialog_kertas_3,Barang kecil di dalam laci,Tiny object inside a drawer
$wolf_dialog_kertas_4,Benda tipis yang sangat berat,A very heavy thin object
$fox_dialog_kertas_1,Orang bilang benda tipis itu menyala saat basah,People said that thin object will glow when it's wet
$fox_dialog_kertas_2,Konon benda putih itu dibuat dari awan padat,It is said that the white object is made from solid clouds
$fox_dialog_kertas_3,Benda tipis itu menyerap suara sepenuhnya,That thin object absorb sounds completely
$fox_dialog_kertas_4,Benda putih tipis itu bisa mengeluarkan suara saat diam,That thin white object can emit a sound when it is standing still
,,
$sheep_dialog_penghapus_1,Benda kecil terbuat dari karet,A tiny object made out of rubber
$sheep_dialog_penghapus_2,"Saat digosok di tulisan pensil, tulisan pensil hilang","When rubbed on pencil writing, the pencil writing disappears"
$sheep_dialog_penghapus_3,Warnanya beragam dan sering ada di meja belajar,They come in a variety of colors and are always on the school desk
$sheep_dialog_penghapus_4,"Jika dipakai, ia meninggalkan serpihan","If used, it will leave flakes"
$sheep_dialog_penghapus_5,Benda ini berpasangan dengan pensil,This tiiny object is paired with a pencil
$wolf_dialog_penghapus_1,Aku melihat sebuah barang kecil di antara rak buku,I see a tiny object between a bookshlef
$wolf_dialog_penghapus_2,Ada sebuah benda ringan di dalam laci,There is a light object inside a drawer
$wolf_dialog_penghapus_3,Sebuah objek kecil di dalam kotak,A tiny object inside a box
$wolf_dialog_penghapus_4,Barang kecil yang berada di samping penggaris,A small object located next to a ruler
$fox_dialog_penghapus_1,Benda kecil lunak itu sebenarnya bisa menyala di gelap,That small soft object can actually glow in the dark
$fox_dialog_penghapus_2,Benda warna-warni itu dipercaya mampu memantulkan suara,That colorful object is trusted to be able to reflect sounds
